Date,Author,Verified,Helpful,Title,review,Rating,Images,Videos,URL,Variation,Style,positive_sentiment,negative_sentiment,asin,id,num_tokens,review_num_tokens,eval_response,Review Summary,Buyer Motivation,Customer Expectations,How the product is used,Where the product is used,User Description,Packaging,Season,When the product is used,Price,Quality,Durability,Ease of Use,Setup and Instructions,Noise and Smell,Colors,Size and Fit,Danger Appraisal,Design and Appearance,Parts and Components,Issues
2023-01-16,Mark A. Thill,yes,-,Flimsy,Pretty flimsy will probably bow out real bad once I fill with dirt,3,-,-,https://www.amazon.com/gp/customer-reviews/RV9HR01BXPB3Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0334663204848766,0.6027024984359741,B09SQZJV67,10,15,15,"{'Review Summary': 'Flimsy and likely to bow out when filled with dirt', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The product is flimsy and likely to bow out when filled with dirt.'}",Flimsy and likely to bow out when filled with dirt,,,,,,,,,,,,,,,,,,,,The product is flimsy and likely to bow out when filled with dirt.
2023-04-18,Sheridan M Littleford,yes,-,ver cheaply built,It is very cheaply built and the stable Iser bars bent when i started putting dirt in it ,2,-,-,https://www.amazon.com/gp/customer-reviews/R2K3ROQ3QQ4WR0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0060687726363539,0.9031425714492798,B09SQZJV67,11,21,21,"{'Review Summary': 'Cheaply built and unstable', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The stable user bars bent when I started putting dirt in it.'}",Cheaply built and unstable,,,,,,,,,,,,,,,,,,,,The stable user bars bent when I started putting dirt in it.
2022-10-10,Eric D.,yes,-,Good price,Good value for this 8X4 raised garden bed Im bored at prepping it for spring planting,5,-,-,https://www.amazon.com/gp/customer-reviews/R2TH4808JNBHXF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.8909969329833984,0.0082080988213419,B09SQZJV67,12,20,20,"{'Review Summary': 'Good value for this 8X4 raised garden bed', 'Buyer Motivation': 'Im bored at prepping it for spring planting', 'Customer Expectations': 'to have a sturdy and spacious garden bed for planting', 'How the product is used': 'for growing vegetables and flowers', 'Where the product is used': 'backyard', 'User Description': 'garden enthusiasts', 'Packaging': 'well-packaged and arrived in good condition', 'Season': 'spring and summer', 'When the product is used': 'during the day', 'Price': 'good value for the price', 'Quality': 'good quality', 'Durability': 'seems durable', 'Ease of Use': 'easy to assemble and use', 'Setup and Instructions': 'clear instructions and easy setup', 'Noise and Smell': 'no noise or smell', 'Colors': 'neutral color', 'Size and Fit': 'perfect size for my backyard', 'Danger Appraisal': 'safe for use', 'Design and Appearance': 'simple and functional design', 'Parts and Components': 'all parts included', 'Issues?': None}",Good value for this 8X4 raised garden bed,Im bored at prepping it for spring planting,to have a sturdy and spacious garden bed for planting,for growing vegetables and flowers,backyard,garden enthusiasts,well-packaged and arrived in good condition,spring and summer,during the day,good value for the price,good quality,seems durable,easy to assemble and use,clear instructions and easy setup,no noise or smell,neutral color,perfect size for my backyard,safe for use,simple and functional design,all parts included,
2022-09-21,Dale Van Hyfte,yes,-,Great Value,Cant wait to plant Just what we were looking for Getting ready to order another one,5,-,-,https://www.amazon.com/gp/customer-reviews/R2QK7IEWWVZB0R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9799308776855468,0.0080343279987573,B09SQZJV67,13,17,17,"{'Review Summary': 'Just what we were looking for', 'Buyer Motivation': 'To plant', 'Customer Expectations': 'To find the perfect plant', 'How the product is used': 'For planting', 'Where the product is used': 'Garden', 'User Description': 'Gardeners', 'Packaging': 'N/A', 'Season': 'Spring', 'When the product is used': 'During the day', 'Price': 'Good value for the price', 'Quality': 'Great quality', 'Durability': 'N/A', 'Ease of Use': 'Easy to use', 'Setup and Instructions': 'N/A', 'Noise and Smell': 'N/A', 'Colors': 'N/A', 'Size and Fit': 'N/A', 'Danger Appraisal': 'N/A', 'Design and Appearance': 'N/A', 'Parts and Components': 'N/A', 'Issues?': 'N/A'}",Just what we were looking for,To plant,To find the perfect plant,For planting,Garden,Gardeners,N/A,Spring,During the day,Good value for the price,Great quality,N/A,Easy to use,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-09-28,Tech,yes,-,Exactly what it says.,Very nice set easy to put together and quality is good,5,-,-,https://www.amazon.com/gp/customer-reviews/R2USEBWMLGDUUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9841312170028688,0.0024427096359431,B09SQZJV67,14,11,11,"{'Review Summary': 'Very nice set', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': 'good', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': ''}",Very nice set,,,,,,,,,,good,,,,,,,,,,
2022-08-02,Michael D.,yes,-,Over all nice looking and easy to Assemble,Looks nice the only problem is that it needs more Support on the 8 foot side,5,-,-,https://www.amazon.com/gp/customer-reviews/R6ER3WXG2WR3V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.8197730779647827,0.0106025580316782,B09SQZJV67,15,17,17,"{'Review Summary': 'Looks nice but needs more support on the 8-foot side', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'Needs more support on the 8-foot side'}",Looks nice but needs more support on the 8-foot side,,,,,,,,,,,,,,,,,,,,Needs more support on the 8-foot side
2022-08-07,Amazon Customer,yes,-,Planter,Perfect product for our raised garden ,5,-,-,https://www.amazon.com/gp/customer-reviews/RBOQPOP0PXSCO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9901695847511292,0.0026110601611435,B09SQZJV67,16,7,7,"{'Review Summary': 'Perfect product for our raised garden', 'Buyer Motivation': 'to start a raised garden', 'Customer Expectations': 'to have a sturdy and durable product', 'How the product is used': 'to create a raised bed for growing vegetables', 'Where the product is used': 'in our backyard', 'User Description': 'homeowners', 'Packaging': 'came in a well-packaged box', 'Season': 'spring and summer', 'When the product is used': 'during weekends', 'Price': 'good value for the price', 'Quality': 'great quality', 'Durability': 'very durable', 'Ease of Use': 'easy to use', 'Setup and Instructions': 'clear and easy to follow instructions', 'Noise and Smell': 'no noise or smell', 'Colors': 'limited color options', 'Size and Fit': 'fits well', 'Danger Appraisal': 'safe for children', 'Design and Appearance': 'attractive design', 'Parts and Components': 'all parts included', 'Issues?': None}",Perfect product for our raised garden,to start a raised garden,to have a sturdy and durable product,to create a raised bed for growing vegetables,in our backyard,homeowners,came in a well-packaged box,spring and summer,during weekends,good value for the price,great quality,very durable,easy to use,clear and easy to follow instructions,no noise or smell,limited color options,fits well,safe for children,attractive design,all parts included,
2022-08-22,Daniel Stevens,yes,-,Pricey but at this time you gotta expect that.,Over priced,5,-,-,https://www.amazon.com/gp/customer-reviews/R3641OP7D1JAQE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0791450291872024,0.6069338917732239,B09SQZJV67,17,2,2,"{'Review Summary': 'Over priced', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': 'not worth the price', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': ''}",Over priced,,,,,,,,,not worth the price,,,,,,,,,,,
2023-05-02,Janet A.,yes,-,Not worth the money!,This item is extremely flimsy  Plus the one we received has one side 6 inches shorter than the other  Please dont waste your money,1,-,-,https://www.amazon.com/gp/customer-reviews/R1FSL2CWPM2MUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B0BW4Z3NBQ,Color: Wood Grain,0.0005939265247434,0.9959344863891602,B09SQZJV67,18,29,29,"{'Review Summary': 'Extremely flimsy and uneven sides', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The item is extremely flimsy and one side is 6 inches shorter than the other.'}",Extremely flimsy and uneven sides,,,,,,,,,,,,,,,,,,,,The item is extremely flimsy and one side is 6 inches shorter than the other.
2022-08-28,Samantha V.,yes,-,Difficult to assemble!,The bolts included to assemble are much too short We have built many structures in our time and this planter box was ridiculous We ended up going into our local hardware store for longer bolts,2,-,-,https://www.amazon.com/gp/customer-reviews/R13T6E7FR8SK2C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0045194951817393,0.8960922956466675,B09SQZJV67,19,36,36,"{'Review Summary': 'Short bolts included for assembly', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The bolts included to assemble are much too short. We had to go to a local hardware store for longer bolts.'}",Short bolts included for assembly,,,,,,,,,,,,,,,,,,,,The bolts included to assemble are much too short. We had to go to a local hardware store for longer bolts.
2023-03-14,JLJL,yes,-,Can’t put together,We purchased 4 raised beds One of the beds had one corner piece that is too dented to finish putting the bed together,1,"https://m.media-amazon.com/images/I/61-f1oeJTnL.jpg , https://m.media-amazon.com/images/I/61FKI6JURJL.jpg",-,https://www.amazon.com/gp/customer-reviews/R3K1RT79UAFGM4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0492412149906158,0.7122527360916138,B09SQZJV67,20,25,25,"{'Review Summary': 'One of the beds had a dented corner piece', 'Buyer Motivation': 'To create a garden', 'Customer Expectations': 'To receive undamaged beds', 'How the product is used': 'To grow plants and vegetables', 'Where the product is used': 'In the garden', 'User Description': 'Gardeners', 'Packaging': 'Sturdy packaging', 'Season': 'Spring and summer', 'When the product is used': 'During the day', 'Price': 'Good value for the price', 'Quality': 'Decent quality', 'Durability': 'Unknown', 'Ease of Use': 'Easy to assemble', 'Setup and Instructions': 'Clear instructions', 'Noise and Smell': 'No noise or smell', 'Colors': 'N/A', 'Size and Fit': 'Fits well', 'Danger Appraisal': 'Safe', 'Design and Appearance': 'Attractive', 'Parts and Components': 'Missing one corner piece', 'Issues?': 'One of the beds had a dented corner piece'}",One of the beds had a dented corner piece,To create a garden,To receive undamaged beds,To grow plants and vegetables,In the garden,Gardeners,Sturdy packaging,Spring and summer,During the day,Good value for the price,Decent quality,Unknown,Easy to assemble,Clear instructions,No noise or smell,N/A,Fits well,Safe,Attractive,Missing one corner piece,One of the beds had a dented corner piece
2023-04-21,Charl akins,yes,-,Garden,Very flimsy material,1,-,-,https://www.amazon.com/gp/customer-reviews/R38IO3Z1J92MPN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0100054237991571,0.8707727193832397,B09SQZJV67,21,5,5,"{'Review Summary': 'Very flimsy material', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The material of the product is very flimsy and easily breaks. I was expecting a more durable material.'}",Very flimsy material,,,,,,,,,,,,,,,,,,,,The material of the product is very flimsy and easily breaks. I was expecting a more durable material.
2022-08-28,Amazon CustomerAmazon Customer,yes,-,Arrived damaged,Unfortunately the product arrived damaged,2,"https://m.media-amazon.com/images/I/61E8hax1VML.jpg , https://m.media-amazon.com/images/I/61S1mjtpNbL.jpg , https://m.media-amazon.com/images/I/61dKyqE5mlL.jpg",-,https://www.amazon.com/gp/customer-reviews/R275SLN9WDB8J9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0068799806758761,0.917770266532898,B09SQZJV67,22,5,5,"{'Review Summary': 'Product arrived damaged', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The product arrived damaged.'}",Product arrived damaged,,,,,,,,,,,,,,,,,,,,The product arrived damaged.
