Date,Author,Verified,Helpful,Title,review,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on September 14, 2022",melmel,yes,yes,It's an okay garden bed,"I have 5 other garden beds aside from this one from a different company. I purchased one of these before I bought more so this is garden bed number 6.These are my pros and cons.ConsThis was the most time consuming and tedious garden bed I've put together. I'm middle aged and fairly in good shape but being hunched over for a long period of time trying to get all 10 screws and nuts in (30 per side) hurt.The corners were bent due to the poor quality of plastic that covered the corners.The metal rails for support in the middle of the beds are super super poor quality and very flimsy so be careful with assembly and bending the metal so much.ProsThe metal is heavy duty.The color is nice.I liked that the outside part that had the plastic protective film to prevent scratching.I like that it came with a rubber protective guard for the top but honestly it isnt needed. The metal does have any sharp edges and isnt thin enough to hurt.If this company has other designs I may try another one out but I wont be getting another one of these just because of how tedious, time consuming, and some of the quality issues I faced.",3,https://m.media-amazon.com/images/I/61RBWmihhnL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2RX2GKXPS818/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on May 2, 2022",Paul NavarroPaul Navarro,yes,yes,Great price and looks even better!,Easy to assemble I did it by myself without any help. It was time consuming and took about a 20-30 min per planter.. Great size for planting but definitely requires a lot of soil.,4,"https://m.media-amazon.com/images/I/91BNjI242CL.jpg , https://m.media-amazon.com/images/I/91CWjCBju4L.jpg",-,https://www.amazon.com/gp/customer-reviews/R1D6FQYHY4QXCX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on January 4, 2023",Manuel,yes,yes,Looks good,The build takes quite some time and moving it requires 2 people due to the flimsy nature of it. The cross sections could be way stronger had they not been made from aluminum used for soda cans. Watch the bottom when filling. Mine is bulging in a section. I'm going to have to reinforce it with some 2x4 on that side.,4,-,-,https://www.amazon.com/gp/customer-reviews/R2ZP595EELZCX1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on March 21, 2022",L. Maffett,yes,yes,"Nice size, but sort of lightweight.","I will say that it looks good in our yard.  With the rising price of wood, we thought that we would go this route and do a metal raised bed, this year.  Other than the 144 bolts and wingnuts, to assemble, the only negatives are the light gauge metals used and the thin paint.  As we assembled the unit, the panels threatened to bend, in the strong breeze, and each time one would brush against another, the paint was left scratched.  Also, the three support braces, across the middle, are very thin aluminum and bent badly before we got the dirt inside.  Hopefully, the unit will last a few years, anyway.",3,-,-,https://www.amazon.com/gp/customer-reviews/R2MA54X2C887UH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on July 23, 2022",Jessica Roy,yes,yes,This product is made with LEAD so you cannot use it for growing food.,It's made of a banned substance,1,-,-,https://www.amazon.com/gp/customer-reviews/R3U92BRWVOLP1M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on May 7, 2022",Blueiris63Blueiris63,yes,yes,Awesome product,My husband wanted these to replace his wooden container boxes.  We are very impressed with the quality of the product and it was easy to put together.  It looks so much nicer than the old wooden containers we had.  The only negative is the rubber pieces to place on corners kept falling off.  He just got foam pieces and placed around the edges,5,https://m.media-amazon.com/images/I/91828FyBg3L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1V2423BNJF2JZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on August 19, 2022",Jon8285Jon8285,yes,yes,Contains lead - not safe for growing vegetables,There is a notice on the instruction manual that says this product “can expose you to chemicals including lead and lead compounds.” This is not safe for a garden bed which will grow vegetables you eat.,1,https://m.media-amazon.com/images/I/71S1cU+2LUL.jpg,-,https://www.amazon.com/gp/customer-reviews/RWT9NDPGPJZXN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 21, 2022",Brandon B.Brandon B.,yes,yes,Cheap and flimsy,"We were trying to replace old rotted wooden boxes  so we figured we'd try these metal ones.First, it took forever to put together. So many little screws and wing nuts, with almost no good way to hold it together during the process.Secondly, and more importantly, it is flimsy and cheap. The middle supports were bending just as we were maneuvering it empty. Then, when we began to fill it they all bent and are completely shot. All the sides are bowing in werid directions and overall illustrations I am concerned it will not hold dirt for more than a year. If the center supports where much stronger, I feel the sides wouldn't bow as much.For the price of this one compared to others I expected a much sturdier unit. BUYER BEWARE! Look elsewhere.",2,"https://m.media-amazon.com/images/I/81AYsLsZXJL.jpg , https://m.media-amazon.com/images/I/81QcNFcxzrL.jpg , https://m.media-amazon.com/images/I/81Y8cP0Uz6L.jpg",-,https://www.amazon.com/gp/customer-reviews/R2IM6HL2QGRM4L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 24, 2022",W. heath,yes,yes,Perfect height,"I’m a near 70 little old lady worth severe arthritis in hands and trigger thumbs and I put it together alone. Super easy. Although spinning the fly bolts was difficult as I kept dropping them, if I could put it together you can too. I did however glue down the rubber edges.Now for the dirt …….",5,-,-,https://www.amazon.com/gp/customer-reviews/R3UCXNGZ18551A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on June 1, 2022",Kathleen Marie FischbachKathleen Marie Fischbach,yes,yes,Rabbits can't reach my lettuce!,"Easy to assemble.  Sturdy.  Tall enough that the rabbits can't get it.  Everything is growing so nicely in it.  I will probably get another one next year.  It did take a lot of dirt to fill it all the way up, but that was a one time thing.  I really like it being taller and not having to bend over to garden.  Very happy with it.",5,https://m.media-amazon.com/images/I/81faD671eNL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3F4VNXZXEH45Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on July 3, 2022",Jenny Lynn LewJenny Lynn Lew,yes,yes,We Love Our Garden Bed,This is the perfect bed! Great  height to keep animals out. It’s well made and sturdy. Great color as well. Awesome customer service! Highly recommended.,5,https://m.media-amazon.com/images/I/81bp5xW3J5L.jpg,-,https://www.amazon.com/gp/customer-reviews/RHZIB1HZWGTRY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 21, 2022",Laura CliffordLaura Clifford,yes,yes,Great raised garden bed,Perfect raised metal garden bed for the price perfect width and height and depth very sturdy will be easy to weed the garden this year,5,https://m.media-amazon.com/images/I/91I7s48oDYL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3J3KEY5ILYO6B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on October 14, 2022",queen cat,yes,yes,So disappointed in this product. It comes with lead warnings.,How can this be sold for vegetable gardens? The packaging indicates it has lead in it. True waste of money.,1,-,-,https://www.amazon.com/gp/customer-reviews/R32KS3340DJSJC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on June 26, 2022",Amazon CustomerAmazon Customer,yes,yes,Don't buy this. Im livid over this!,"This is my 2nd raised bed. This one is 2ft high because its easier to work in on your back.Here is the problem...its design isn't strong enough. The side walls are bulging out already. (See pic)It arrived well packaged and no damage in transit. Actually well done here.The metal materials are weakly constructed.Put it together exactly as the instructions stated. Filled it several inches (short of the top edge) with premium bagged potting soil. Done by hand and not compressed.Within a few days the side walls are bulging out. You see a steel rod on the picture which is perfectly straight and parts of the wall are touching while parts of the wall are about an inch away from touching the straight steel rod. (This is a harded steel ground rod which doesn't bend without a lot of pressure. )It was assembled on a level and tilled ground. I expect a lil flex from any bed after a season or 2. Not inside the first week.Im so mad that normally id return an item of this low quality. This one has been set up, filled with soil, irrigation,and planted. Otherwise id be sending it right back. If this costs me my summer growing season cause this bed has a catastrophic failure, ill be levit.Look elsewhere or build your own. Its not worth 60 dollars let alone 180.",1,"https://m.media-amazon.com/images/I/81OSRkMv6UL.jpg , https://m.media-amazon.com/images/I/91RM1slFRTL.jpg , https://m.media-amazon.com/images/I/91kzuXM5ydL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1WMKEQU22R6L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 19, 2023",KKKK,yes,yes,"Nice and large, but questionable quality","I ordered 2 of these from somewhere else, and received 2 different sizes.  Returned the wrong size, and ordered a second one from Amazon.  These are nice and big, and easy enough to build (tedious work).  The middle bars did not seem very stable, and I noticed some had issues with bowing once the dirt was added, so we replaced the bars with 2x2 red cedar., and added a few more for extra support.  Not sure if this will help or hurt as we have not yet filled them with dirt.  Will update when we do.  Scratch very easy so be gentle when building and adding material.",4,"https://m.media-amazon.com/images/I/816hMG0qTSL.jpg , https://m.media-amazon.com/images/I/81B+xOjv0WL.jpg , https://m.media-amazon.com/images/I/81Oz3fdJa3L.jpg , https://m.media-amazon.com/images/I/81kHBcNd4EL.jpg",-,https://www.amazon.com/gp/customer-reviews/R2PXZ1P4PXJAHR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on March 6, 2023",Amazon Customer,yes,yes,"Decent for the price, but a little cheap too","This is a decent raised bed. Not sure if it's worth $150 though. It was much lighter than expected, so it was easy to move around, but a little shakey. The middle brackets are very cheap and easily bend. They don't support any weight at all. The paint scratches very easily, so expect anything that hits it to scratch it. On the other hand, it does look nice once it's up. Obviously, it's big if you buy the 8ft one as I did and has a lot of room to fill. We just started this bed and will give further updates on how sturdy and strong it is once it's full.",4,-,-,https://www.amazon.com/gp/customer-reviews/R2BVH71PBHJG5I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on September 20, 2022",Runtrails,yes,yes,Very nice looking and functional raised bed but directions could be much better,"It is 3 feet tall which means you need more dirt to fill it but makes it easier to tend the things growing in it, The assembly directions show the very bare minimum however.  For example it is important, though not immediately obvious, that the four corner pieces are oriented so the holes for the stability pegs are all down. There is no mention if the cross supports should be oriented up or down, though it may not matter unless they may rust faster facing up. Very nice to have wing nuts for the 80 screws used. The four stability pegs are so short I am not sure they accomplish anything, but don't see necessary anyway since the metal framework is so heavy once assembled. Very nice looking once together.",5,-,-,https://www.amazon.com/gp/customer-reviews/R2RQNBNDFGUPDJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on July 17, 2022",Diesel Man,yes,yes,Well made and one of the raised beds that is taller,I can’t say too much that is bad about this product. But the packaging stinks as the panels get damaged in shipping. Specifically the edges from being dropped on the corners. The edges were bent over almost to being folded completely. Also the edge protecting black plastic is about useless and blows off in the wind. Not really needed anyway. I bought three of these total for garden vegetables and they are nice. Plan on filling with rock then other items as they hold a bunch of material. Great product but they will take some time to assemble.,5,-,-,https://www.amazon.com/gp/customer-reviews/R1QD06Z7AJ5R5W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on June 23, 2022",AmazonShopper22,yes,yes,Amazing high-end gardening containers,"These are the best gardening containers on the market. I ordered three of them to start my vegetable garden and they look amazing and super high-end, almost like I ordered a custom vegetable garden set from a high-end landscaping company. They're very sturdy, they look really fancy with the black metal finish. They're also a great height for gardening. I also ordered some black metal arbors from Amazon to complete the set and they look amazing. Best purchase for my backyard yet. Full five stars!",5,-,-,https://www.amazon.com/gp/customer-reviews/R1CRUPDG4Q6RGT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on June 26, 2022",StephanieStephanie,yes,yes,"Easy to assemble, but flimsy","We bought 4 beds, they were easy to put together, but 3 of the 4 have badly bowing sides. I am hoping that this doesn’t get worse with the weight of the soil",3,"https://m.media-amazon.com/images/I/81HzAOCuIHL.jpg , https://m.media-amazon.com/images/I/81j78kzmHVL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1Z4CTS12398XH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on October 22, 2022",Matt Sixt ,yes,yes,STAY AWAY!!!,"“Cancer and reproductive harm” - not fit for intended purpose of vegetable garden pictured.  Despite prime, you have to pay for return. Stay away from their lies!",1,-,-,https://www.amazon.com/gp/customer-reviews/RXARLS2KWX8CR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 24, 2023",MeMe,yes,yes,It holds a lot of soil and is a lot sturdier once it's full,"I assembled this with my daughter, and it took about 60 minutes from start to finish.  I had to to remove bolts and backtrack a bit because I didn't notice that two corners were upside down -- the holes for the stakes go in the bottom and I didn't even notice that the holes existed in the first place.  A good chunk of the 60 minutes were spent removing the plastic coating from the panels!Anyway, it was fairly easy to build but you will be doing a lot of crouching.  It feels a little wobbly, especially when you are carrying it to the destination, but it feels far more solid once the soil has been added.  Speaking of soil, it takes a LOT to fill this thing up.  I mitigated this somewhat by disassembling the old cedar raised bed which was being replaced and putting the contents of that in the bottom of the new raised bed, but it took four trips to the recycling center to get enough soil to fill it to an acceptable level.I like that it's deep enough to grow carrots in and tall enough to keep rabbits away from green beans.  Here's to hoping that the metal lasts a long time!",4,https://m.media-amazon.com/images/I/81YoDtBMZ+L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1A6BRKL5B9TXD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on March 16, 2023",Amazon Customer,yes,yes,It is exactly as described,We like the  raised containers .We bought 2Theses keep the rabbits and chickens out of the garden .As we get older getting on knees to garden is harder on body.Perfect height,5,-,-,https://www.amazon.com/gp/customer-reviews/R1XV6RK0GCIVEN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on March 3, 2023",PW,yes,yes,Easy to assemble,"Really easy to assemble. I was able to do it by myself. If anything, I’d suggest to assemble everything loosely at first. Then, using an electric screwdriver or drill with an apex tip, hold the wing nut and run the screw tight",5,-,-,https://www.amazon.com/gp/customer-reviews/R1S5UUAZ6XLZ99/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on January 31, 2023",Barbara Whitten,yes,yes,Planter box… easy to assemble and well made,The product will be used for my vegetable garden. Very sturdy and easy to assemble,5,-,-,https://www.amazon.com/gp/customer-reviews/R24FU71OGQN48W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 24, 2022",Lauren A. Tent,yes,yes,Is it really safe for growing food?,"It clearly states it's for vegetables, however once you open it up there is a prop65 warning sticker on one of the panels. Now I'm concerned it's not safe but kind of too late to package back up and return. This information should be in the description.",4,-,-,https://www.amazon.com/gp/customer-reviews/R11T8GT5XCEOIS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on June 27, 2022",Kevin Van HornKevin Van Horn,yes,yes,"Overall OK. Very thin metal.  Arrived damaged, but easily straightened, every piece was bent..","It took about 80 minutes to build each one.  As is everything here, the attachment hardware is very cheaply made.  Overall, decent product for the price.  The cross supports could have been a little sturdier in my opinion.  I'm planning to box them in, as I don't think they'll make an ohio winter without reinforcement.  I may buy one more.",5,"https://m.media-amazon.com/images/I/61uawnlwIdL.jpg , https://m.media-amazon.com/images/I/81mgyUn5Z2L.jpg , https://m.media-amazon.com/images/I/91l+CIS73LL.jpg",-,https://www.amazon.com/gp/customer-reviews/R4QLNFDW25VY8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on April 1, 2022",Cas ,yes,yes,The quality of. the product is really great,The size & looks plus the ease of putting it together. It took my grandson 40 min.,5,-,-,https://www.amazon.com/gp/customer-reviews/R23D6QK0ZVOU7B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on May 17, 2022",Michelle L. ProsiseMichelle L. Prosise,yes,yes,No tools required to assemble. Working in the garden has never been easier on the back!,"Easy, durable and looks great!",5,https://m.media-amazon.com/images/I/81hiwbF9+jL.jpg,-,https://www.amazon.com/gp/customer-reviews/R19S4UGY3NDETY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on March 27, 2022",Beb,yes,yes,Very poor quality,Returned very poor quality. Don’t buy  should be - 100 stars.,1,-,-,https://www.amazon.com/gp/customer-reviews/R2VHFJX6W439W4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on March 27, 2023",Amazon CustomerAmazon Customer,yes,yes,One season in and a rust spot,"These are OK, next time I’m just going to build my own though. They get the job done, but are a bit flimsy. Just walked out there today after only one season and there’s a rust hole starting. Would not buy again.",4,"https://m.media-amazon.com/images/I/71NWn0pSUYL.jpg , https://m.media-amazon.com/images/I/91WTMPZbpkL.jpg",-,https://www.amazon.com/gp/customer-reviews/R104M1VFBYYR1C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
"Reviewed in the United States on July 12, 2022",LE Alwine,yes,yes,8'x4' Metal Raised Garden Bed,"I like that it is metal as my previous wood boxes rotted out after 2 yrs.  The assembly is not difficult, but far more time consuming than the 45 - 60 minutes the instructions suggest.  The twisting/tightening of so many wingnuts is very hard on your thumbs.  If you don't have access to a wingnut ratchet, then it may be easier & quicker to assemble if you switched out the wingnuts for bolts so you can use tools to tighten the connections.  The design is just like pictured in the ad.",4,-,-,https://www.amazon.com/gp/customer-reviews/R1EM9IF0OSMM70/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray
