"id","rating","review_summary","product_facts","positive_sentiment","negative_sentiment","improvements_expected","issues_identified","how_product_is_used","media","where_product_is_used","sentiment","anger","anger_reason","delight","delight_reason","disappointment","disappointment_reason","time","season","weather","user_description","title","review","asin_variant","asin"
10,5,"Great for keeping kids busy and having fun","Unknown","0.9360318","0.004240698","Unknown","Unknown","To keep kids busy and entertained","[]","Unknown","Positive","No","NaN","Yes","Keeps kids busy and having fun","No","NaN","Unknown","Unknown","Unknown","Unknown","Just the right size","Keeps kids busy and they have fun Everything all together","B07XCRT49W","B07X7YFZWG"
11,5,"Great for keeping kids entertained on long car rides.","Multiple pieces, contained in one board","0.98692256","0.001675616","Unknown","Unknown","Entertaining kids on long car rides","[]","Car","Positive","No","NaN","Yes","Keeps kids entertained, lots of pieces, contained in one board","No","NaN","Unknown","Unknown","Unknown","Grandparent who purchased the product for their grandchildren","Kids love these","Bought these for my grandchildren to have on long car ride They love them Used them to make all kinds of designs for things they saw out the window I like that there were lots of pieces  everything is contained in one board Would buy again","B07XCRVK2Y","B07X7YFZWG"
12,5,"Good toy for frequent use","Unknown","0.8876246","0.006104635","Unknown","Unknown","Frequent use","[]","Unknown","Positive","No","NaN","Yes","Good toy","No","NaN","Unknown","Unknown","Unknown","Unknown","Fun toy for kids","Good toy Will be used often","B07XCRT49W","B07X7YFZWG"
13,5,"Durable and entertaining toy for young children","Creates patterns, colorful, durable","0.98982185","0.0016030925","Unknown","Unknown","Creating patterns","[]","At home, in the car, on airplanes","Positive","No","NaN","Yes","Entertaining, durable, colorful","No","NaN","Unknown","Unknown","Unknown","Unknown","Very nice magnet toy for young kids","This toy will keep young children fairly entertained for awhile They can create nice patterns using thisIt is built very well Durable colorful and easily packed for trips by car or for use while on an airplane ride","B07XCRVK2Y","B07X7YFZWG"
14,4,"Positive feedback from the nephew","Unknown","0.9085932","0.01812205","Unknown","Unknown","Unknown","[]","Unknown","Positive","No","NaN","Yes","Nephew loved it","No","NaN","Unknown","Unknown","Unknown","Unknown","Fun","Nephew loved it","B07X7YFZWG","B07X7YFZWG"
15,4,"Good writing quality but loud","Unknown","0.54076976","0.08414741","Unknown","Loudness","Writing","[]","Unknown","Neutral","No","NaN","No","NaN","No","NaN","Unknown","Unknown","Unknown","Unknown","Pretty good, overall","Writes very well but it is very loud","B07XCRT49W","B07X7YFZWG"
16,5,"Positive review with minor suggestions for improvement","Beads, pen, clicking sound","0.44696385","0.16732359","A string to hold the pen in place","Difficulty for young children to push beads down","As a toy for young children","[""https://m.media-amazon.com/images/I/7111FhQXA1L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71Hw6nsWfbL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71ZVV-O9NSL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71oAfGx+bYL._SL1600_.jpg""]","At home, on the go","Positive","No","NaN","Yes","Well-intact beads, satisfying clicking sound","No","NaN","Unknown","Unknown","Unknown","Parent of a young child","Just arrived- so far so good with my almost 3 year old !","The media could not be loaded If you can handle the clicking sound then its a great idea My sons little fingers arent quite strong enough to push the beads down so we have to help him but that doesnt stop him from playing with itbeads are well intact and the pen works wellclicking it makes is oddly satisfying to me so it doesnt effect me video should play the clickingthe size is good for slipping in a diaper bag or back pack on the gothe pen could easily be misplaced if not replaced in the slot could possibly be created with a string that holds it just like the old school etchasketch would recommend to everyone","B07XCRT49W","B07X7YFZWG"
17,5,"Great for kids and enjoyable for adults too.","Unknown","0.99198145","0.0016735597","Unknown","Unknown","Entertainment","[]","Unknown","Positive","No","NaN","Yes","Kids love it and even adults enjoy it","No","NaN","Unknown","Unknown","Unknown","Unknown","Perfect for kids","My kids love this I even play it from time to time","B07XCRVK2Y","B07X7YFZWG"
18,5,"Positive feedback for the product, especially for car trips.","Unknown","0.9868811","0.0020002343","Unknown","Unknown","For car trips","[]","Unknown","Positive","No","NaN","Yes","Elementary schooler loves it, great feedback","No","NaN","Unknown","Unknown","Unknown","Parent or gift giver","Basic but Brilliant","Weve had one for a while and my elementary schooler loves it especially for car trips Gifted two more with great feedback","B07XCRVK2Y","B07X7YFZWG"
19,5,"Fun and enjoyable drawing board for all ages","Unknown","0.989879","0.0015558539","Unknown","None mentioned","Drawing and playing","[]","Unknown","Positive","No","NaN","Yes","Fun for all ages, enjoyable to play with","No","NaN","Unknown","Unknown","Unknown","Unknown","Keeps their attention for longer periods.Adults too.","Kids from 2 to 70 have enjoyed this drawing boardEach time I pick it up I have to play with itHard to put awaySeveral adults have asked about it for the children in their livesI havent had trouble with losing the stylusGreat buy","B07X7YFZWG","B07X7YFZWG"
20,5,"Great for kids and adults, perfect for long car trips and waiting rooms.","Easy to draw on, satisfying to clear off, pencil snaps easily into it and stays put","0.81372297","0.0147365825","Unknown","None mentioned","Drawing, passing time during car trips and waiting rooms, playing while reading to kids","[]","Car, waiting rooms, home","Delight","No","NaN","Yes","Fun to use, satisfying, easy to use","No","NaN","Unknown","Unknown","Unknown","Parent who purchased the product for their kids and husband","Cute and great for sensory kids!","Ok  so I should tell you that my kids love this  but my HUSBAND is also obsessed with this It is so fun to draw on and so satisfying to clear off Great for long car trips waiting rooms and even playing with while i read to my kiddosThe pencil snaps super easily into it and amazingly stays putI love this and will be getting 3 more","B07X7YFZWG","B07X7YFZWG"
21,3,"Effective for calming during panic attacks, but limited by hole pattern","Loud operation, 19x20 hole pattern","0.76305103","0.03329426","More hole pattern options for adults","Limited hole pattern for creating perfect designs","Calming during panic attacks","[""https://m.media-amazon.com/images/I/71+E+Jhhu4L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71piAyzQj4L._SL1600_.jpg""]","Unknown","Positive","No","NaN","Yes","Effective for calming during panic attacks","Yes","Limited hole pattern for creating perfect designs","Unknown","Unknown","Unknown","Adult user with panic attacks","It’s not an even number of holes.","So hubby bought this for me for calming when fidget toys arent working Panic attacks It works great It is loud which actually helpsThe ONLY complaint  its 19 holes x 20 holes so I cant do any perfect patterns I mean it works because I cant get anything to be perfect other than little things so I keep working at it But ohhhhh thats stressfulIt would get 5 stars if it wasnt for that And yes it is aimed at kids not adults but it works Just dont count them lol","B07XCRVK2Y","B07X7YFZWG"
22,5,"Great for travel and entertaining all ages","Unknown","0.96552","0.006863984","Unknown","None mentioned","Entertaining during travel","[]","Airport","Positive","No","NaN","Yes","Entertained all ages, received compliments from others","No","NaN","Unknown","Unknown","Unknown","Traveler with a 3-year-old and older family members","Super fun for all ages!","I bought for travel to keep my 3 year old busy and several older family members ended jk playing with it We even had multiple people in the airport ask where we got it I would definitely recommend","B07XCRVK2Y","B07X7YFZWG"
23,2,"Good quality product, but the pen should be attached to avoid losing it.","Magnetic pen","0.15728119","0.25392282","Pen attachment mechanism","Lost pen, rendering product useless","Unknown","[]","Unknown","Neutral","No","NaN","No","NaN","Yes","Lost pen, rendering product useless","Unknown","Unknown","Unknown","Unknown","Lost the pen","The little magnetic pen should be attached somehow We unfortunately lost our pen its kind of a useless toy without it It is good quality and works great But probably tie your pen on right away so you dont end up loosing it like we did ","B07X7YFZWG","B07X7YFZWG"
24,4,"Grandson and his father loved it.","Unknown","0.93038964","0.013512719","Unknown","Unknown","Unknown","[]","Unknown","Positive","No","NaN","Yes","Loved by grandson and his father","No","NaN","Unknown","Unknown","Unknown","Unknown","Car toy","Grandson  and his father loved it","B07XCRVK2Y","B07X7YFZWG"
25,5,"Positive review from a satisfied customer","Unknown","0.96283275","0.0042924173","Unknown","Unknown","Unknown","[]","Unknown","Positive","No","NaN","Yes","Daughter loves it","No","NaN","Unknown","Unknown","Unknown","Unknown","10 year old loves it","Cool productMy daughter loves it","B07XCRVK2Y","B07X7YFZWG"
26,4,"Great product for nonverbal autistic children, but some troubleshooting required.","Unknown","0.726388","0.023107188","Unknown","Balls not coming up as they are supposed to","Unknown","[""https://m.media-amazon.com/images/I/71OPaLOsArL._SL1600_.jpg""]","In a car","Positive","No","NaN","Yes","Loving the product, son enjoys it too","No","NaN","Unknown","Unknown","Unknown","Parent of an 11-year-old nonverbal autistic child","Love the product","I am loving the product My son is 11 NonVerbal Autistic and is loving this as well The picture is how it is looking after taking it on a car ride Im not quite sure why its doing that The holes have the balls in them they just wouldnt come up like they are supposed to I will troubleshoot it to find out Otherwise its a Great Product","B07XCRT49W","B07X7YFZWG"
42,5,"Great purchase for preschool classroom","Unknown","0.9784522","0.00286821","Unknown","Unknown","In a preschool classroom","[]","Preschool classroom","Positive","No","NaN","Yes","Loved by children and gets lots of use","No","NaN","Unknown","Unknown","Unknown","Parent or teacher who purchased the product for a preschool classroom","Preschool","Purchased for my childs preschool classroom They love them and get lots of use out of them","B07X7YFZWG","B07X7YFZWG"
27,5,"A versatile and enjoyable writing tool for all ages.","Secure pen snap, magnetic holes, eraser feature","0.8472756","0.053484295","Unknown","Unknown","Writing and drawing","[]","Unknown","Positive","No","NaN","Yes","Versatile and enjoyable for all ages","No","NaN","Unknown","Unknown","Unknown","Unknown","Therapeutic Creativeness","The media could not be loaded The pen snaps in securely so Im not worried about it getting lost The magnets easily fill the holes and are able to be punched back by fingers the eraser part of the writing tool or by turning it sideways to clear many at onceIt comes with a picture of many different designs you can create in case you are short on creativity at the momentAll family members enjoy using this regardless of age","B07X7YFZWG","B07X7YFZWG"
28,5,"Great entertainment for kids while traveling, highly recommended.","Unknown","0.9955455","0.0009995047","Unknown","Unknown","Entertainment for kids while traveling","[]","During travel","Delight","No","NaN","Yes","Perfect entertainment for kids while traveling, continued use after trip","No","NaN","Unknown","Unknown","Unknown","Parent who purchased the product for their kids","Great for triad trip entertainment!","These were perfect entertainment for my kids while traveling They have continued to play with them even after our trip Definitely recommend","B07XCRT49W","B07X7YFZWG"
29,5,"Great sensory toy for road trips, but difficult to draw with","Sensory beads that can be pushed down","0.9808897","0.0017461497","Improved drawing functionality","Difficult to draw with","Sensory play, drawing","[]","Road trips","Positive","No","NaN","Yes","Great sensory feel, enjoyable for daughter","Yes","Difficult to draw with","Unknown","Unknown","Unknown","Parent of a 25-year-old daughter who enjoys sensory play","Great for Toddler Travel","My 25 yr old daughter loved using this on our road trip She didnt quite understand how to draw with it but she loved pushing the little beads back down Its got a great sensory feel","B07X7YFZWG","B07X7YFZWG"
30,5,"Great open-ended toy for kids, well-made and easy to share","Unknown","0.9528903","0.004305326","Unknown","Unknown","Open-ended play for kids","[]","Plane ride","Positive","No","NaN","Yes","Kid really likes it, easy to share","No","NaN","Unknown","Unknown","Unknown","Parent or caregiver of a child who enjoys open-ended play","Great activity for travel!","My kid really likes this Its open ended play Made well We used it on a plane ride and shared it","B07XCRT49W","B07X7YFZWG"
31,4,"Great board, but some modifications needed for optimal use.","Board with holes, pen with cord","0.9793043","0.0024449085","Secure attachment of pen to board","Pen not securely attached to board, loud noise when shaking","In a classroom setting","[]","Classroom","Positive","No","NaN","Yes","Students love using the board","No","NaN","unknown","unknown","unknown","Teacher or educator","Add a string to the pen and it's fantastic!","My students love using this board I made a few modifications I opened up the board to attach a cord through the holes and tied and glued the other end to the pen so that it wouldnt get lost I also cut a piece of felt to go under the ball bearings so that its not as loud ifwhen the kids shake it If the pen came securely attached to the board this would be a fivestar review because otherwise the board is great","B07XCRT49W","B07X7YFZWG"
32,4,"Addictive for kids","Unknown","0.9624455","0.00628501","Unknown","None mentioned","Entertainment for kids","[]","Unknown","Positive","No","NaN","Yes","Addictive for kids","No","NaN","Unknown","Unknown","Unknown","Parent of a child who uses the product","Only because my dog got hold of it and the pen was semi destroyed(not unfixable) yet","My youngest is addicted to this he can have his tablet right in front of him and not even pay attention to it He even took a shower instead of bath to get back to it faster","B07XCRT49W","B07X7YFZWG"
33,5,"Fun and mesmerizing product at a good price, but not suitable for all users.","Unknown","0.9109312","0.00367946","Unknown","Not suitable for all users","Unknown","[]","Home","Mixed","No","NaN","Yes","Fun and mesmerizing, good price, cute color","Yes","Not suitable for autistic son","Christmas","Winter","Unknown","Parent of an autistic child","Fun to play with.","I bought this for my autistic son for Christmas He didnt really care for it but the rest of the family liked it Its fun and mesmerizing A good price and the color is cute","B07XCRT49W","B07X7YFZWG"
34,5,"Great toy for kids who love to create without the mess.","Unknown","0.77791953","0.075248286","Unknown","Unknown","To allow kids to create without making a mess","[]","Unknown","Delight","No","NaN","Yes","Allows kids to create without making a mess","No","NaN","Unknown","Unknown","Unknown","Parent who likes to provide creative outlets for their children","Simple Fun","I really like toys that allow my kiddos to create and the best part about this one is that its mess free Woot woot","B07X7YFZWG","B07X7YFZWG"
35,5,"Popular with both children and adults.","Unknown","0.53623605","0.2189661","Unknown","None mentioned","Entertainment","[]","Unknown","Positive","No","NaN","Yes","Loved by a 4-year-old and adults","No","NaN","Unknown","Unknown","Unknown","Unknown","A toy for every age","This was purchased for a 4 year old who loved it It wasnt long until I saw all the adults playing with it","B07XCRT49W","B07X7YFZWG"
36,5,"Surprisingly popular toy, bought a second one for convenience.","Unknown","0.54137766","0.31230873","Unknown","Unknown","As a toy for a grandchild","[]","At home and in the car","Positive","No","NaN","Yes","Toy was a hit with grandson","No","NaN","Christmas","Winter","Unknown","Grandparent who purchased the toy","It was a hit!","Who knew this toy would be the hit of Xmas I bought it for my grandson and ended up purchasing a second one to keep in my car for him","B07XCRVK2Y","B07X7YFZWG"
37,3,"Good simple toy for ASD kids, but magnets are not easily erased and it's a little clunkier than expected.","Magnetic drawing board","0.43200704","0.03377214","Improved erasability of magnets, sleeker design","Magnets are not easily erased, clunky design","As a toy for ASD kids","[]","Unknown","Mixed","No","NaN","Yes","Good gift for ASD son, simple toy","Yes","Magnets not easily erased, clunky design","Unknown","Unknown","Unknown","Parent of an ASD child","Hard to use","This seems straight forward  like a good gift for my ASD son But the magnets are not as easily erased as portrayed A little clunkier than expected But still a good simple toy if that wouldnt bother your kid","B07X7YFZWG","B07X7YFZWG"
38,5,"Unknown","Unknown","0.9291861","0.013602847","Unknown","Unknown","Unknown","[]","Unknown","Positive","false","Unknown","true","Happy camper","false","Unknown","Unknown","Unknown","Unknown","Unknown","Happy camper","Happy Camper","B07XCRVK2Y","B07X7YFZWG"
39,5,"Great toy for kids who love to create and design","Unknown","0.98664325","0.0019346304","Unknown","Unknown","Creating shapes and designs","[]","Unknown","Delight","No","NaN","Yes","Kids love playing with it for hours","No","NaN","Unknown","Unknown","Unknown","Parent of kids who enjoy playing with the toy","They love it!","My kids love this thing They will play for hours just making shapes and designs","B07XCRVK2Y","B07X7YFZWG"
40,4,"Love the product, but wish the pen was attached to it.","Unknown","0.6584227","0.25614214","Attach the pen to the side of the product","Pen is not attached to the product, causing inconvenience","Unknown","[]","Unknown","Positive","No","NaN","Yes","Loves the product","No","NaN","Unknown","Unknown","Unknown","Unknown","Please attach the pen","Absolutely love this product so much so that Ive purchased it twice The downfall is that the pen isnt stuck to it So when my kid forgets to place it back then we are stuck with no pen Wished they attached the pen to the side so I wouldnt have to hunt for it","B07X7YFZWG","B07X7YFZWG"
41,5,"Suitable for all ages","Unknown","0.9722087","0.007262741","Unknown","Unknown","Unknown","[]","Unknown","Positive","No","NaN","Yes","Suitable for all ages","No","NaN","Unknown","Unknown","Unknown","Unknown","CLASSROOM Fidget","Great for all ages","B07XCRT49W","B07X7YFZWG"
43,5,"Great fidget device for kids and adults, durable and ASMR friendly.","Unknown","0.99163514","0.0013499174","Unknown","Unknown","Fidgeting","[]","Unknown","Delight","No","NaN","Yes","Great for fidgeting, durable, ASMR friendly","No","NaN","Unknown","Unknown","Unknown","Unknown","Screen Free Fantastic!","This is a great little fidget fun device Kids and adults alike can use this fun item Durable and ASMR friendly as well","B07XCRT49W","B07X7YFZWG"
44,5,"Great Xmas gift for a creative child","Unknown","0.95930576","0.004835684","Unknown","Unknown","Carried everywhere for creative play","[]","Unknown","Delight","No","NaN","Yes","Grandson really likes it, great for creative play","No","NaN","Xmas","Winter","Unknown","Grandparent who purchased the product as a gift","Grandson loved it 💯","One good Xmas gift for my grandson He really likes it he carried it with him everywhere Great for a creative mind ","B07XCRVK2Y","B07X7YFZWG"
45,4,"Positive review with a minor suggestion for improvement","Magnetic notepad with detachable pen","0.5824139","0.031684384","Pen attachment to notepad","Detachable pen can be misplaced","Writing notes and reminders","[]","Unknown","Positive","No","NaN","Yes","Likes the product","No","NaN","Unknown","Unknown","Unknown","Unknown","Cool","I like this but I wish the pen were attached I know its gonna be misplaced and then Ill need to find another magnet to use","B07XCRT49W","B07X7YFZWG"
46,5,"Great purchase for young children","Unknown","0.96121025","0.0073275333","Unknown","Unknown","By 5 and 6-year-old children","[]","Unknown","Delight","No","NaN","Yes","Loved by the grandkids","No","NaN","Unknown","Unknown","Unknown","Grandparent","good quality and entertaining for grandkids","Bought for my 5 and 6yr old grandkids and they loved it","B07XCRT49W","B07X7YFZWG"
47,5,"Fun and satisfying toy that provides a break from screen time and promotes sharing.","Magnetic toy","0.9967983","0.00076666975","Unknown","None mentioned","As a fun alternative to screen time","[]","Unknown","Positive","No","NaN","Yes","Satisfying and relaxing to use, fun for the whole family","No","NaN","Unknown","Unknown","Unknown","Parent who purchased the toy for their child's birthday","Whole family is addicted!","I added this to my sons birthday gift list and we all love it So satisfying and relaxing both pulling up the magnets and pushing them back down It makes a great inexpensive gift that provides a fun alternative to screen time Plus we get to practice sharing since mom loves it too","B07XCRVK2Y","B07X7YFZWG"
48,5,"Highly popular among kids of all ages.","Unknown","0.9437613","0.018869946","Unknown","Unknown","Unknown","[]","Unknown","Delight","No","NaN","Yes","Highly popular among kids of all ages","No","NaN","Unknown","Unknown","Unknown","Unknown","Gets them off the video tablets!","Oh My The kids are fighting over this We had to buy three more The 14 year old loves it as much as the 3 year old","B07XCRT49W","B07X7YFZWG"
49,5,"Great toy for all ages, easy to play with and perfect for traveling.","Unknown","0.9918507","0.001483686","Unknown","Unknown","Playing","[]","Unknown","Delight","No","NaN","Yes","Easy to play with, fun, great for traveling","No","NaN","Unknown","Unknown","Unknown","Unknown","amazing","bought this for my sister and she loves it so easy to play with and very fun also great for traveing","B07XCRT49W","B07X7YFZWG"
50,5,"Great for artistic kids and adults, but pens should be attached with a string to prevent loss.","Beads stay in place, easy to use","0.9128023","0.03114447","Pens should be attached with a string","Pens are too easy to lose","Artistic activities","[]","Unknown","Positive","No","NaN","Yes","Loved by grandkids and husband, beads stay in place","No","NaN","Unknown","Unknown","Unknown","Unknown","The magnet drawing board is a great item","my grandkids loved it Even my husband loved playing with these items Fantastic for that artistic person I love that those beads cannot come out I wish that the pens were attached with a string Too easy to lose","B07XCRVK2Y","B07X7YFZWG"
51,5,"Kids love the boards, but pen needs improvement","Drawing board with pen","0.93783474","0.0049439305","Lanyard attachment for pen","Pen gets lost easily","Drawing and writing","[]","Unknown","Positive","No","NaN","Yes","Kids love the boards","Yes","Pen gets lost easily","Unknown","Unknown","Unknown","Parent of kids who use the drawing boards","Kids love it!","My kids love these boards I just wish the pen had a lanyard that attached to the board so it wouldnt get lost so easily","B07X7YFZWG","B07X7YFZWG"
52,5,"Portable and mess-free toy with potential for future use","Portable, suggested drawings, mess-free","0.9212595","0.015774425","None","None","As a travel toy","[]","During travel","Positive","No","NaN","Yes","Portable, mess-free, potential for future use","No","NaN","Unknown","Unknown","Unknown","Parent of a two-year-old who enjoys travel and is looking for mess-free toys","Perfect for travel","I always pick a few new toys every time we have travel coming up This is very portable comes with suggested drawings and zero mess My two year old is quite into yet but I can see this being a hit a year or two from now when she can count out the squares to copy the drawings In the meantime I had fun with it this trip","B07XCRT49W","B07X7YFZWG"
53,5,"Perfect for a mess-free car ride.","Unknown","0.96859133","0.0064810775","Unknown","Unknown","In a car","[]","Car","Positive","No","NaN","Yes","Mess-free car ride","No","NaN","Unknown","Unknown","Unknown","Unknown","Fun for car rides","Perfect for a mess free car ride","B07XCRT49W","B07X7YFZWG"
54,5,"Great toy for kids to play and learn with","Magnetic drawing tool","0.99215984","0.0013872946","Unknown","Unknown","Playing and learning","[]","Home, restaurant","Positive","No","NaN","Yes","Kids love playing with it, can learn about magnets","No","NaN","Unknown","Unknown","Unknown","Parent or caregiver of children who purchased the toy","Ingenious and sturdy","Our kids love thisThey can play with magnetic drawing tool at a extended time while they are at home or at the restaurant tooThey can also learn a concept of magnet too","B07X7YFZWG","B07X7YFZWG"
55,5,"Great and easy to use, but wishes the pen was attached to the board.","Black background, silver balls","0.9473522","0.00196462","Pen attachment to the board","None mentioned","Unknown","[]","Unknown","Positive","No","NaN","Yes","Great and easy to use, good contrast between black background and silver balls","No","NaN","Unknown","Unknown","Unknown","Unknown","Great , needs pen attached to board","Great easy to use the black background gives quite a contrast to the silver balls which is good I only wish the pen was attached to the board somehow","B07X7YFZWG","B07X7YFZWG"
56,5,"Entertains children while they create figures with the magnetic pencil.","Magnetic pencil","0.8507626","0.031211138","Unknown","Unknown","Creating figures","[]","Unknown","Positive","No","NaN","Yes","Entertains children","No","NaN","Unknown","Unknown","Unknown","Unknown","Good","Entretiene a los nios mientras crean figuras con el lpiz magntico","B07XCRVK2Y","B07X7YFZWG"
57,5,"Fun and enjoyable toy for both kids and adults, but a little loud.","Marble push toy with sound effects","0.9775227","0.0017676617","Unknown","Loud noise","Pushing marbles back and forth","[]","Unknown","Positive","No","NaN","Yes","Fun and enjoyable for both kids and adults","No","NaN","Unknown","Unknown","Unknown","Parent who purchased the toy for their child","Easy and fun","This pad is so fun My son enjoyed pushing the marbles back in and the sounds that came from doing that Even as an adult I thought it was a fun toy Its a little loud but with planes being so loud no one seemed to be bothered by it","B07XCRT49W","B07X7YFZWG"
58,5,"Great toy for many ages","Unknown","0.98264","0.004869705","Unknown","Unknown","Unknown","[]","Unknown","Positive","No","NaN","Yes","Great for many ages","No","NaN","Unknown","Unknown","Unknown","Unknown","The adults love playing with it too!","Great toy for many ages","B07XCRT49W","B07X7YFZWG"
89,5,"Fun product that caught my attention","Unknown","0.97039264","0.0029952256","Unknown","Unknown","Unknown","[]","Unknown","Positive","No","NaN","Yes","Fun product","No","NaN","Unknown","Unknown","Unknown","Unknown","Fun Tool","Saw a young boy using it and instantly brought myself here Its pretty fun","B07X7YFZWG","B07X7YFZWG"
59,2,"Disappointed with the magnetic pen attachment and the company's profit-driven approach","Magnetic pen attachment","0.1887886","0.4637235","Better magnetic pen attachment, less profit-driven approach","Poor magnetic pen attachment, profit-driven approach","Unknown","[]","Unknown","Negative","No","NaN","No","NaN","Yes","Poor magnetic pen attachment, profit-driven approach","Unknown","Unknown","Unknown","Unknown","Annoying pen situation","I wouldnt have an extra 5 bucks for yall to figure out a way to cleverlyattach the magnetic pen to the board I get that the majority of money you guys make is likely from the 3 replacement pens that you sell its just capitalistic and gross when dealing with children Duct tape doesnt look cute but ya its better than what youve provided","B07XCRT49W","B07X7YFZWG"
