"asin","data_label","positive_sentiment","negative_sentiment","rating_avg","rating","id","how_product_is_used","media","where_product_is_used","user_description","observation_count","percentage","type","cluster_label"
"B07Q899BPB","improved safety design and quality control","0.0007116115884855","0.9963756799697876",NULL,"[1]","[270]","['Writing']","['https://m.media-amazon.com/images/I/71bRAOERe7L._SL1600_.jpg']","['Unknown']","['Unknown']",1,"11.11111111111111","Improvement","Product Quality and Design"
"B07Q899BPB","improved stylus and drawing experience with individual bead response","0.0061604846268892","0.9263665080070496",NULL,"[2]","[284]","['Drawing']","[]","['Unknown']","['Unknown']",1,"11.11111111111111","Improvement","Magnetic Board and Pen Improvements"
"B07X7YFZWG","added pen connectivity to device","0.3916453719139099","0.1440629959106445",NULL,"[5]","[82]","['Car use']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B07X7YFZWG","added pen attachment to notepad","0.582413911819458","0.0316843837499618",NULL,"[4]","[45]","['Writing notes and reminders']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B01M4OV4Q4","clear communication about item condition and improved packaging","0.19938725233078","0.5188203454017639",NULL,"[3]","[395]","['Unknown']","[]","['Unknown']","['Unknown']",1,"20","Improvement","Product Quality and Design"
"B07QXMLSS5","improved magnet strength, quality, and functionality","0.0014984790468588","0.9743279218673706",NULL,"[1]","[262]","['Unknown']","[]","['Unknown']","['Gift giver who purchased the product for their niece']",1,"100","Improvement","Magnetic Board and Pen Improvements"
"B07X7YFZWG","added replacement balls or boards","0.1885612457990646","0.5615997314453125",NULL,"[3]","[93]","['Entertaining children during car rides']","[]","['In the car']","['Parent of a toddler']",1,"2.7777777777777777","Improvement","Product Quality and Customer Service"
"B01M4OV4Q4","no specific improvements mentioned","0.3537201881408691","0.1980294287204742",NULL,"[5]","[397]","['Sensory play']","[]","['Unknown']","['Parent of a child with sensory issues']",1,"20","Improvement","Product Quality and Customer Service"
"B07X7YFZWG","improved magnet erasability and sleeker design","0.4320070445537567","0.0337721407413482",NULL,"[3]","[37]","['As a toy for ASD kids']","[]","['Unknown']","['Parent of an ASD child']",1,"2.7777777777777777","Improvement","Magnetic Board and Pen Improvements"
"B07Q899BPB","improved tracing on letter board side","0.9446825981140136","0.0035932976752519",NULL,"[5]","[281]","['Practicing pencil grip, letter exposure, drawing, fidgeting']","[]","['Home, school']","['Parent who bought the product for their 4-year-old child']",1,"11.11111111111111","Improvement","Magnetic Board and Pen Improvements"
"B07Q899BPB","fixed issue with balls not dropping down","0.1696019172668457","0.2765800356864929",NULL,"[3]","[276]","['Drawing and writing']","[]","['Unknown']","['Unknown']",1,"11.11111111111111","Improvement","Product Quality and Customer Service"
"B07X7YFZWG","added stylus and pen attachment to the board with connection","0.9268513917922974","0.0069733411073684",NULL,"[4]","[104]","['Unknown']","[]","['Unknown']","['Parent who purchased the product for their daughter']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B07X7YFZWG","added string attachment for pen and more color options","0.8783681392669678","0.0171441361308097",NULL,"[5]","[71]","['As a toy for a 4-year-old during car trips and rest time']","[]","['In the car, at home']","['Parent of a 4-year-old']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B07Q899BPB","improved magnet functionality","0.8872426152229309","0.0035718451254069",NULL,"[5]","[278]","['Tracing letters and tactile stimulation']","[]","['Indoors']","['Parent of a child learning to write']",1,"11.11111111111111","Improvement","Magnetic Board and Pen Improvements"
"B07Q899BPB","improved noise level for quieter operation during plane travel","0.048403687775135","0.5383590459823608",NULL,"[5]","[269]","['Plane travel, road trips']","[]","['Plane, car']","['Traveler who values consideration for others']",1,"11.11111111111111","Improvement","Reduced Noise Levels"
"B07X7YFZWG","improved drawing capabilities","0.9808896780014038","0.0017461497336626",NULL,"[5]","[29]","['Sensory play, drawing']","[]","['Road trips']","['Parent of a 25-year-old daughter who enjoys sensory play']",1,"2.7777777777777777","Improvement","Magnetic Board and Pen Improvements"
"B07X7YFZWG","added pen connectivity to device and improved pen attachment to the device","0.1211697608232498","0.4647774696350097",NULL,"[3]","[79]","['Playing']","[]","['Unknown']","['Grandparent of the child who uses the product']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B07X7YFZWG","added string attachment for pen","0.9720457196235656","0.0070891072973608",NULL,"[5]","[65]","['Drawing and writing']","[]","['Unknown']","['Parent of children, one of whom is autistic']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B01M4OV4Q4","improved pen security to the board","0.8205809593200684","0.0199266094714403",NULL,"[4]","[408]","['Unknown']","[]","['Unknown']","['Unknown']",1,"20","Improvement","Pen Attachment and Security"
"B07X7YFZWG","improved noise level for quieter operation","0.1587861217558384","0.6218834817409515",NULL,"[4, 1]","[80, 68]","['Entertainment for children', 'On a plane']","[]","['On a road trip', 'Plane']","['Parent who purchased the toy for their children', 'Unknown']",2,"5.555555555555555","Improvement","Reduced Noise Levels"
"B07XCRT49W","improved ball containment","0.7412827610969543","0.0316500142216682",NULL,"[4]","[170]","['Inflight entertainment for a toddler']","[]","['Car, plane']","['Parent who purchased the product for a toddler']",1,"2.631578947368421","Improvement","Product Quality and Customer Service"
"B07X7YFZWG","improved stylus attachment mechanism","0.9801462888717652","0.0014975388767197",NULL,"[5]","[62]","['Quiet time activity at a restaurant or in the car']","[]","['Restaurant, car']","['Family with young children']",1,"2.7777777777777777","Improvement","Magnetic Board and Pen Improvements"
"B07XCRT49W","added larger size options","0.1347458660602569","0.4000005722045898",NULL,"[3]","[195]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Product Improvements and Features"
"B07X7YFZWG","improved noise level and ball mechanism","0.0129437521100044","0.7076740264892578",NULL,"[3]","[85]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Reduced Noise Levels"
"B07XCRT49W","added string attachment for pens to prevent loss","0.912802278995514","0.0311444699764251",NULL,"[5]","[175]","['Artistic activities']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","improved durability and rust prevention design","0.0012810331536456","0.9965346455574036",NULL,"[1]","[198]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Product Quality and Design"
"B07X7YFZWG","improved magnet functionality with attached pen","0.0434756353497505","0.6152324080467224",NULL,"[2]","[8]","['As a toy for kids']","[]","['Unknown']","['Parent who purchased the toy for their kids']",1,"2.7777777777777777","Improvement","Magnetic Board and Pen Improvements"
"B07XCRT49W","fixed issue with beads getting stuck","0.9258797764778136","0.0028126626275479",NULL,"[4]","[215]","['In the car to keep kids entertained']","[]","['Car']","['Parent who uses the toy to entertain their child in the car']",1,"2.631578947368421","Improvement","Product Quality and Customer Service"
"B07X7YFZWG","improved secure attachment of pen to board","0.979304313659668","0.0024449084885418",NULL,"[4]","[31]","['In a classroom setting']","[]","['Classroom']","['Teacher or educator']",1,"2.7777777777777777","Improvement","Pen Attachment and Security"
"B07X7YFZWG","improved safety design and quality control","0.0010333250975236","0.9863073825836182",NULL,"[2]","[95]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Product Quality and Design"
"B07X7YFZWG","improved noise level with warning on packaging","0.2042465209960937","0.159428596496582",NULL,"[3]","[75]","['As a busy toy for kids during appointments']","[]","[""Doctor's offices""]","['Parent who bought the toy for their child to use during appointments']",1,"2.7777777777777777","Improvement","Reduced Noise Levels"
"B07X7YFZWG","improved packaging for better shipping protection","0.2134726792573928","0.0837248265743255",NULL,"[4]","[101]","['Child enjoys playing with it']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Product Quality and Design"
"B07XCRT49W","added replacement balls or boards","0.1885612457990646","0.5615997314453125",NULL,"[3]","[208]","['Entertaining toddlers during car rides']","[]","['In the car']","['Parent of a toddler']",1,"2.631578947368421","Improvement","Product Quality and Customer Service"
"B07X7YFZWG","improved pen attachment to the board","0.947352170944214","0.0019646200817078",NULL,"[5]","[55]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachment and Security"
"B07X7YFZWG","improved pen attachment to the product","0.6584227085113525","0.2561421394348144",NULL,"[4]","[40]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","improved magnet erasability and sleeker design","0.4320070445537567","0.0337721407413482",NULL,"[3]","[322]","['As a toy for ASD kids']","[]","['Unknown']","['Parent of an ASD child']",1,"2.564102564102564","Improvement","Magnetic Board and Pen Improvements"
"B07XCRT49W","added stylus and pen attachment to the board with connection","0.9268513917922974","0.0069733411073684",NULL,"[4]","[229]","['Unknown']","[]","['Unknown']","['Parent of a child who uses the product']",1,"2.631578947368421","Improvement","Pen Attachments and Connectivity"
"B07X7YFZWG","improved pen attachment design with less focus on profit","0.1887885928153991","0.4637235105037689",NULL,"[2]","[59]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachment and Security"
"B07X7YFZWG","improved noise level and magnetism to keep balls on board","0.9347500801086426","0.004588502459228",NULL,"[4]","[7]","['Unknown']","[]","['Unknown']","['Parent or caregiver of children who use the product']",1,"2.7777777777777777","Improvement","Reduced Noise Levels"
"B07X7YFZWG","improved pen attachment mechanism","0.1572811901569366","0.2539228200912475",NULL,"[2]","[23]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachment and Security"
"B07XCRT49W","added string attachment for pen and more color options","0.8783681392669678","0.0171441361308097",NULL,"[5]","[196]","['As a toy for a 4-year-old during car trips and rest time']","[]","['In the car, at home']","['Parent of a 4-year-old']",1,"2.631578947368421","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","improved magnet erasing feature and sleeker design","0.4320070445537567","0.0337721407413482",NULL,"[3]","[162]","['As a toy for ASD kids']","[]","['Unknown']","['Parent of an ASD child']",1,"2.631578947368421","Improvement","Magnetic Board and Pen Improvements"
"B07XCRT49W","improved drawing capabilities","0.9808896780014038","0.0017461497336626",NULL,"[5]","[144]","['Sensory play, drawing']","[]","['Road trips, home']","['Parent of a 25-year-old daughter who enjoys sensory play']",1,"2.631578947368421","Improvement","Magnetic Board and Pen Improvements"
"B07XCRT49W","added stylus attachment to the board","0.7816322445869446","0.0126485303044319",NULL,"[4]","[203]","['With kindergarten-3rd grade students']","[]","['Unknown']","['Teacher or educator working with young students']",1,"2.631578947368421","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","added pen connectivity to device and improved pen attachment to the device","0.1211697608232498","0.4647774696350097",NULL,"[3]","[204]","['Playing']","[]","['Unknown']","['Grandparent']",1,"2.631578947368421","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","added string attachment for pen","0.9720457196235656","0.0070891072973608",NULL,"[5]","[220]","['Drawing and writing']","[]","['Unknown']","['Parent of children, one of whom is autistic']",1,"2.631578947368421","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","added more engaging features for adults","0.986908495426178","0.0028510177507996",NULL,"[5]","[186]","['Entertaining toddlers']","[]","['Unknown']","['Parent of a toddler']",1,"2.631578947368421","Improvement","Product Improvements and Features"
"B07XCRT49W","improved noise level for quieter operation","0.2861139997839927","0.4426381240288415",NULL,"[4, 1, 4]","[185, 150, 223]","['Writing', 'On a plane', 'Entertainment for children']","[]","['Unknown', 'Plane', 'On a road trip']","['Unknown', 'Unknown', 'Parent who purchased the toy for their children']",3,"7.894736842105263","Improvement","Reduced Noise Levels"
"B07XCRT49W","improved quality control with attached pen","0.0434756353497505","0.6152324080467224",NULL,"[2]","[173]","['As a toy for kids']","[]","['Unknown']","['Parent who purchased the toy for their kids']",1,"2.631578947368421","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","improved ball containment","0.7412827610969543","0.0316500142216682",NULL,"[4]","[310]","['Inflight entertainment for a toddler']","[]","['Car, plane']","[""Parent who purchased the product for their toddler's entertainment during travel""]",1,"2.564102564102564","Improvement","Product Quality and Customer Service"
"B07XCRVK2Y","added lanyard attachment for pen","0.9378347396850586","0.0049439305439591",NULL,"[5]","[336]","['Drawing and writing']","[]","['Unknown']","['Parent of kids who use the drawing boards']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","improved stylus attachment mechanism","0.9657012820243835","0.0019227421726099",NULL,"[5, 5]","[217, 174]","['Unknown', 'Quiet time activity at a restaurant or in the car']","[]","['Unknown', 'Restaurant, car']","['Unknown', 'Family with young children']",2,"5.263157894736842","Improvement","Magnetic Board and Pen Improvements"
"B07XCRVK2Y","improved durability, rust prevention design, and quality control","0.0012810331536456","0.9965346455574036",NULL,"[1]","[348]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Product Quality and Design"
"B07XCRVK2Y","added string attachment for pens to prevent loss","0.912802278995514","0.0311444699764251",NULL,"[5]","[335]","['Artistic activities']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRVK2Y","fixed issue with beads getting stuck","0.9258797764778136","0.0028126626275479",NULL,"[4]","[375]","['As a boredom buster for kids in the car']","[]","['In the car']","['Parent who uses the toy to entertain their child in the car']",1,"2.564102564102564","Improvement","Product Quality and Customer Service"
"B07XCRT49W","improved safety design and quality control","0.0010333250975236","0.9863073825836182",NULL,"[2]","[210]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Product Quality and Design"
"B07XCRT49W","improved noise level with warning on packaging","0.2042465209960937","0.159428596496582",NULL,"[3]","[200]","['As a busy toy for kids']","[]","[""Doctor's offices""]","['Parent who bought the toy for their child to use during appointments']",1,"2.631578947368421","Improvement","Reduced Noise Levels"
"B07XCRVK2Y","added pen connectivity to device","0.3916453719139099","0.1440629959106445",NULL,"[5]","[357]","['Car use']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRVK2Y","added pen attachment to notepad","0.582413911819458","0.0316843837499618",NULL,"[4]","[290]","['Taking notes, writing reminders']","[]","['Home, office, school']","['unknown']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRVK2Y","clear communication about item condition and improved packaging","0.1347458660602569","0.4000005722045898",NULL,"[3]","[345]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Product Quality and Design"
"B07XCRVK2Y","added replacement balls or boards","0.1885612457990646","0.5615997314453125",NULL,"[3]","[368]","['Entertaining toddlers during car rides']","[]","['In the car']","['Parent of a toddler']",1,"2.564102564102564","Improvement","Product Quality and Customer Service"
"B07XCRT49W","improved secure attachment for pen","0.979304313659668","0.0024449084885418",NULL,"[4]","[156]","['In a classroom setting']","[]","['Unknown']","['Teacher who uses the board in a classroom setting']",1,"2.631578947368421","Improvement","Pen Attachment and Security"
"B07XCRT49W","improved pen attachment design","0.1887885928153991","0.4637235105037689",NULL,"[2]","[184]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Pen Attachment and Security"
"B07XCRT49W","improved pen attachment to the board","0.947352170944214","0.0019646200817078",NULL,"[5]","[180]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Pen Attachment and Security"
"B07XCRT49W","improved pen attachment to the product","0.6204183101654053","0.1439132615923881",NULL,"[4, 4]","[130, 125]","['Unknown', 'Unknown']","[]","['Unknown', 'Unknown']","['Unknown', 'Unknown']",2,"5.263157894736842","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","added stylus and pen attachment to the board with connection","0.9268513917922974","0.0069733411073684",NULL,"[4]","[389]","['Unknown']","[]","['Unknown']","['Parent who purchased the product for their daughter']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","improved pen attachment mechanism","0.1572811901569366","0.2539228200912475",NULL,"[2]","[138]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.631578947368421","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","added string attachment for pen and more color options","0.8783681392669678","0.0171441361308097",NULL,"[5]","[346]","['As a toy for a 4-year-old during car trips and rest time']","[]","['In the car, at home']","['Parent of a 4-year-old']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRVK2Y","improved drawing capabilities","0.9808896780014038","0.0017461497336626",NULL,"[5]","[334]","['Sensory play, drawing']","[]","['Road trips']","['Parent who purchased the toy for their daughter']",1,"2.564102564102564","Improvement","Magnetic Board and Pen Improvements"
"B07XCRVK2Y","added pen connectivity to device and improved pen attachment to the device","0.1211697608232498","0.4647774696350097",NULL,"[3]","[354]","['Playing']","[]","['Unknown']","['Grandparent who purchased the product for their grandson']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRVK2Y","added string attachment for pen","0.9720457196235656","0.0070891072973608",NULL,"[5]","[380]","['Drawing and writing']","[]","['Unknown']","['Parent of children, one of whom is autistic']",1,"2.564102564102564","Improvement","Pen Attachments and Connectivity"
"B07XCRT49W","improved pen storage design","0.5982517004013062","0.2437092959880828",NULL,"[4]","[231]","['Entertaining kids']","['https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg']","['At home, on trips']","['Parent of young children']",1,"2.631578947368421","Improvement","Magnetic Board and Pen Improvements"
"B07XCRVK2Y","added more engaging features for adults","0.986908495426178","0.0028510177507996",NULL,"[5]","[356]","['Entertaining toddlers']","[]","['Unknown']","['Parent of a toddler']",1,"2.564102564102564","Improvement","Product Improvements and Features"
"B07XCRVK2Y","improved quality control with attached pen","0.0434756353497505","0.6152324080467224",NULL,"[2]","[313]","['As a toy for kids']","[]","['Unknown']","['Parent who purchased the toy for their kids']",1,"2.564102564102564","Improvement","Pen Attachment and Security"
"B07ZJ8HRN8","improved ball containment","0.4770656824111938","0.2881616652011871",NULL,"[1]","[251]","['Unknown']","[]","['Unknown']","['Unknown']",1,"50","Improvement","Product Quality and Customer Service"
"B07XCRVK2Y","reduced noise levels","0.9473875761032104","0.0029093555640429",NULL,"[5]","[361]","['Entertainment during road trips']","[]","['Car']","['Parent who purchased the product for their kids']",1,"2.564102564102564","Improvement","Reduced Noise Levels"
"B07XCRVK2Y","improved stylus attachment mechanism","0.9801462888717652","0.0014975388767197",NULL,"[5]","[377]","['Quiet time activity at a restaurant or in the car']","[]","['Restaurant, car']","['Family who enjoys quiet time activities']",1,"2.564102564102564","Improvement","Magnetic Board and Pen Improvements"
"B085Q4W3WX","improved ball raising mechanism","0.9669886827468872","0.0022564176470041",NULL,"[4]","[117]","['Tactile drawing for blind kids']","[]","['Unknown']","['Parent of a blind child who purchased the product']",1,"12.5","Improvement","Product Quality and Customer Service"
"B085Q4W3WX","improved precision and perfect pattern design, better overall design and quality beads","0.0366365946829319","0.549738347530365",NULL,"[3]","[122]","['As a toy']","[]","['Unknown']","['Parent who bought the toy for their daughter']",1,"12.5","Improvement","Product Quality and Design"
"B07XCRVK2Y","improved noise level and ball mechanism","0.0129437521100044","0.7076740264892578",NULL,"[3]","[360]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Reduced Noise Levels"
"B085Q4W3WX","added replacement of damaged/used product with a new one","0.5627334713935852","0.1908617913722992",NULL,"[2]","[124]","['Drawing and writing practice']","[]","['Home, school']","['Unknown']",1,"12.5","Improvement","Product Quality and Customer Service"
"B07XCRVK2Y","improved safety design and quality control","0.0010333250975236","0.9863073825836182",NULL,"[2]","[370]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Product Quality and Design"
"B085Q3TLF8","improved quality control for magnets","0.2320409268140792","0.1651969999074936",NULL,"[2]","[266]","['As a toy for a special needs individual']","[]","['Unknown']","['Individual who purchased the product for a special needs sister']",1,"50","Improvement","Product Quality and Design"
"B07XCRVK2Y","improved packaging for better shipping protection","0.2134726792573928","0.0837248265743255",NULL,"[4]","[386]","['Child enjoys playing with it']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Product Quality and Design"
"B09R9MMW6J","improved durability and quality control","0.0366365946829319","0.549738347530365",NULL,"[3]","[242]","['Unknown']","[]","['Unknown']","['Parent who purchased the product for their daughter']",1,"12.5","Improvement","Product Quality and Design"
"B085Q4W3WX","added replacement balls or boards","0.0289128273725509","0.7172110080718994",NULL,"[2]","[118]","['Playing a game']","[]","['Unknown']","['Unknown']",1,"12.5","Improvement","Product Quality and Customer Service"
"B09R9MMW6J","added replacement balls or boards","0.0289128273725509","0.7172110080718994",NULL,"[2]","[238]","['Playing a game']","[]","['Unknown']","['Unknown']",1,"12.5","Improvement","Product Quality and Customer Service"
"B07XCRVK2Y","improved secure attachment for pen","0.979304313659668","0.0024449084885418",NULL,"[4]","[316]","['In a classroom setting']","[]","['Unknown']","['Teacher who uses the board in a classroom setting']",1,"2.564102564102564","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","improved noise level and magnet strength","0.9347500801086426","0.004588502459228",NULL,"[4]","[312]","['Unknown']","[]","['Unknown']","['Parent or caregiver of children who use the product']",1,"2.564102564102564","Improvement","Reduced Noise Levels"
"B07XCRVK2Y","improved pen attachment to the board","0.947352170944214","0.0019646200817078",NULL,"[5]","[340]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","improved pen attachment to the product","0.6584227085113525","0.2561421394348144",NULL,"[4]","[285]","['Unknown']","[]","['Unknown']","['Parent who purchased the product for their child']",1,"2.564102564102564","Improvement","Pen Attachment and Security"
"B085Q4W3WX","improved noise level and added engaging features for kids","0.0058278916403651","0.9363839626312256",NULL,"[3]","[121]","['Entertaining kids on a plane ride']","[]","['On a plane']","['Parent who purchased the product for their kids']",1,"12.5","Improvement","Product Improvements and Features"
"B07XCRVK2Y","improved pen attachment design with less focus on profit","0.1887885928153991","0.4637235105037689",NULL,"[2]","[344]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Pen Attachment and Security"
"B07XCRVK2Y","improved pen attachment mechanism","0.1572811901569366","0.2539228200912475",NULL,"[2]","[328]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.564102564102564","Improvement","Pen Attachment and Security"
"B085Q4W3WX","improved durability, quality control, and pen attachment fix","0.0007426961092278","0.9937133193016052",NULL,"[1]","[113]","['Unknown']","[]","['Unknown']","['Unknown']",1,"12.5","Improvement","Pen Attachment and Security"
"B085Q4W3WX","improved magnet pushability","0.9252464175224304","0.0022925077937543",NULL,"[4]","[114]","['As a toy for a child with ADHD']","[]","['Unknown']","['Parent of a 9-year-old child with ADHD']",1,"12.5","Improvement","Magnetic Board and Pen Improvements"
"B07XCRVK2Y","improved precision and perfect pattern design","0.7630510330200195","0.0332942605018615",NULL,"[3]","[326]","['Calming during panic attacks']","['https://m.media-amazon.com/images/I/71+E+Jhhu4L._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71piAyzQj4L._SL1600_.jpg']","['Unknown']","['Individual with panic attacks who uses fidget toys for calming']",1,"2.564102564102564","Improvement","Product Quality and Design"
"B07XCRVK2Y","improved pen storage design","0.5982517004013062","0.2437092959880828",NULL,"[4]","[391]","['Entertaining kids']","['https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg']","['At home, on trips']","['Parent of young children']",1,"2.564102564102564","Improvement","Magnetic Board and Pen Improvements"
"B085Q3TLF8","reduced clicking noise","0.8368762135505676","0.0082335639744997",NULL,"[4]","[267]","['As a toy']","[]","['Unknown']","['Unknown']",1,"50","Improvement","Reduced Noise Levels"
"B07XCRT49W","loud noise level and balls getting stuck","0.0129437521100044","0.7076740264892578",NULL,"[3]","[190]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.702702702702702","Fact","Quality of Ball Pit Balls"
"B07ZJ8HRN8","improved magnet strength","0.0302167013287544","0.7771599292755127",NULL,"[1]","[250]","['Unknown']","[]","['Unknown']","['Unknown']",1,"50","Improvement","Magnetic Board and Pen Improvements"
"B07QXMLSS5","magnetic balls and pen included","0.0014984790468588","0.9743279218673706",NULL,"[1]","[262]","['Unknown']","[]","['Unknown']","['Gift giver who purchased the product for their niece']",1,"50","Fact","Magnetic Drawing Tools and Toys"
"B07Q899BPB","balls do not fall down easily","0.1696019172668457","0.2765800356864929",NULL,"[3]","[276]","['Drawing and writing']","[]","['Unknown']","['Unknown']",1,"11.11111111111111","Fact","Quality of Ball Pit Balls"
"B07X7YFZWG","board has holes and pen has cord","0.979304313659668","0.0024449084885418",NULL,"[4]","[31]","['In a classroom setting']","[]","['Classroom']","['Teacher or educator']",1,"2.564102564102564","Fact","Drawing Board with Pen"
"B07X7YFZWG","balls do not stay up and get stuck","0.0434756353497505","0.6152324080467224",NULL,"[2]","[8]","['As a toy for kids']","[]","['Unknown']","['Parent who purchased the toy for their kids']",1,"2.564102564102564","Fact","Quality of Ball Pit Balls"
